Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
1267,1267, P, Yes, None,179.66,184.47,175.59
3334,1322, O, Yes, None,177.36,176.51,176.92
4805,790, N, Yes, None,175.94,185.27,176.46
6994,971, C, Yes, None,174.71,167.20,175.75
8762,738, P, Yes, None,177.52,185.26,173.84
10498,469, C, Yes, None,179.63,194.12,172.74
13450,1417, Q, Yes, None,177.72,187.44,169.99
14669,633, Y, Yes, None,177.35,176.01,172.80
16539,500, T, Yes, None,175.60,171.20,172.45
18843,800, Z, Yes, None,175.91,170.46,172.55
20847,795, W, Yes, None,176.74,169.48,176.99
23069,1016, B, Yes, None,177.09,182.24,173.14
25987,1923, A, Yes, None,164.21,179.63,176.47
28071,2000, b, No, Omission,177.56,192.50,172.03
28792,721, V, Yes, None,177.94,194.24,171.83
32077,2000, X, Yes, None,176.95,186.29,171.35
32779,701, D, Yes, None,177.45,185.16,171.73
35217,1133, M, Yes, None,177.12,176.43,172.67
37651,1550, P, Yes, None,177.60,178.36,170.12
38865,752, D, Yes, None,177.66,178.13,170.16
40852,733, E, Yes, None,177.78,178.19,170.09
42800,666, I, Yes, None,179.49,191.40,170.50
44818,667, J, Yes, None,178.48,194.78,180.40
46768,599, M, Yes, None,174.09,182.50,173.25
49321,1147, D, Yes, None,172.83,182.79,172.05
50960,767, J, Yes, None,175.18,196.16,172.35
52594,382, b, Yes, None,175.07,188.53,171.95
54496,273, a, Yes, None,175.34,184.63,172.15
56826,598, X, No, Commission,176.40,184.84,171.05
60249,2000, W, No, Omission,168.94,253.21,167.68
61166,917, J, Yes, None,174.25,178.45,173.67
64262,2000, x, Yes, None,177.38,181.73,171.46
64785,523, a, Yes, None,175.82,183.17,169.55
68271,2000, x, Yes, None,178.70,179.93,173.40
69086,815, B, Yes, None,178.54,168.96,175.69
71291,1019, Z, Yes, None,177.87,179.02,176.31
74144,1867, V, Yes, None,175.43,191.03,174.79
76305,2000, E, No, Omission,170.20,187.10,173.23
76556,250, x, No, Commission,172.58,182.92,173.90
78711,399, H, Yes, None,175.61,191.85,171.28
82328,2000, X, Yes, None,178.18,168.31,175.10
83094,766, G, Yes, None,177.65,168.31,176.54
85760,1420, Z, Yes, None,178.34,182.63,177.77
86495,150, M, Yes, None,178.14,182.14,178.22
88945,600, G, Yes, None,177.02,177.12,175.31
91064,709, T, Yes, None,177.16,180.64,174.34
93293,933, G, Yes, None,175.96,178.72,174.78
96379,2000, x, Yes, None,173.01,123.98,176.56
97064,685, Z, Yes, None,178.09,167.56,174.92
99149,766, D, Yes, None,178.18,176.52,175.83
101602,1208, T, Yes, None,178.35,187.21,174.09
103702,1304, Q, Yes, None,178.47,186.10,173.79
105502,1099, M, Yes, None,178.01,182.65,174.68
108407,2000, X, Yes, None,177.81,178.74,176.19
