Elapsed Time (ms),Response Time (ms),Alphabet,Correct,Error Type,Pitch,Yaw,Roll,std_pitch,var_pitch,mean_pitch,mode_pitch,median_pitch,std_yaw,var_yaw,mean_yaw,mode_yaw,median_yaw,std_roll,var_roll,mean_roll,mode_roll,median_roll,Attentive
1267,1267,P,Yes,None,180,184,176,3.13,9.79,183.00,184.00,184.00,86.06,7405.83,177.71,0.00,180.00,3.26,10.64,175.14,178.00,175.00,1
3334,1322,O,Yes,None,177,177,177,3.63,13.16,181.62,177.00,182.00,74.39,5533.25,177.97,176.00,179.00,2.91,8.48,175.55,177.00,176.00,1
4805,790,N,Yes,None,176,185,176,3.76,14.12,180.89,177.00,180.00,68.51,4693.18,178.38,179.00,179.00,2.70,7.31,175.68,177.00,176.00,1
6994,971,C,Yes,None,175,167,176,1.51,2.29,175.80,177.00,177.00,6.45,41.58,175.23,168.00,177.00,0.50,0.25,176.56,177.00,177.00,1
8762,738,P,Yes,None,178,185,174,1.31,1.70,175.34,175.00,175.00,7.07,50.05,174.38,168.00,173.00,0.97,0.94,175.72,176.00,176.00,1
10498,469,C,Yes,None,180,194,173,2.19,4.79,176.47,175.00,176.00,10.63,112.92,178.25,168.00,176.00,1.26,1.59,174.65,174.00,174.00,1
13450,1417,Q,Yes,None,178,187,170,1.04,1.08,179.50,180.00,180.00,12.69,161.14,199.87,194.00,194.00,1.53,2.35,172.62,173.00,173.00,1
14669,633,Y,Yes,None,177,176,173,1.25,1.56,179.33,180.00,180.00,14.89,221.81,197.94,194.00,194.00,1.47,2.15,172.23,173.00,173.00,1
16539,500,T,Yes,None,176,171,172,2.09,4.39,177.70,175.00,177.00,18.94,358.90,188.65,173.00,178.00,1.24,1.54,171.80,172.00,172.00,1
18843,800,Z,Yes,None,176,170,173,0.83,0.70,176.07,176.00,176.00,2.58,6.66,172.64,172.00,172.00,0.49,0.24,172.40,172.00,172.00,1
20847,795,W,Yes,None,177,169,177,0.57,0.32,176.19,176.00,176.00,7.14,50.98,166.86,172.00,170.00,2.34,5.47,173.96,172.00,173.00,1
23069,1016,B,Yes,None,177,182,173,0.48,0.23,176.63,177.00,177.00,9.23,85.24,169.30,172.00,171.00,2.11,4.47,175.05,173.00,175.00,1
25987,1923,A,Yes,None,164,180,176,9.11,83.03,168.72,177.00,176.00,5.90,34.81,182.48,191.00,182.00,1.31,1.72,175.26,176.00,176.00,1
28071,2000,b,No,Omission,178,192,172,8.43,71.01,167.55,177.00,170.00,5.67,32.12,184.49,191.00,185.00,1.48,2.18,175.10,176.00,176.00,0
28792,721,V,Yes,None,178,194,172,8.80,77.45,167.96,178.00,170.00,6.45,41.54,185.87,191.00,188.00,1.76,3.09,174.87,176.00,176.00,1
32077,2000,X,Yes,None,177,186,171,0.85,0.72,176.82,176.00,177.00,6.14,37.74,185.72,185.00,185.50,0.76,0.57,172.27,172.00,172.00,1
32779,701,D,Yes,None,177,185,172,0.76,0.58,176.92,177.00,177.00,5.85,34.21,185.75,185.00,186.00,0.36,0.13,171.98,172.00,172.00,1
35217,1133,M,Yes,None,177,176,173,0.51,0.26,176.75,177.00,177.00,3.57,12.73,181.89,183.00,183.00,0.58,0.34,171.94,172.00,172.00,1
37651,1550,P,Yes,None,178,178,170,0.56,0.32,177.45,177.00,177.00,2.70,7.27,180.48,183.00,180.00,1.19,1.41,171.06,172.00,171.00,1
38865,752,D,Yes,None,178,178,170,0.53,0.29,177.68,178.00,178.00,1.88,3.53,179.04,178.00,178.00,1.16,1.34,170.63,170.00,170.00,1
40852,733,E,Yes,None,178,178,170,0.18,0.03,178.03,178.00,178.00,0.61,0.37,178.32,178.00,178.00,0.32,0.10,169.89,170.00,170.00,1
42800,666,I,Yes,None,179,191,170,0.39,0.15,178.18,178.00,178.00,3.53,12.45,179.67,178.00,178.00,0.08,0.01,170.01,170.00,170.00,1
44818,667,J,Yes,None,178,195,180,0.82,0.68,178.87,178.00,179.00,7.65,58.54,186.44,178.00,186.00,3.98,15.85,172.57,170.00,170.00,1
46768,599,M,Yes,None,174,182,173,1.91,3.66,178.08,179.00,179.00,7.29,53.15,189.30,193.00,193.00,3.96,15.65,174.90,170.00,174.00,1
49321,1147,D,Yes,None,173,183,172,2.10,4.40,174.86,173.00,174.00,6.17,38.02,185.32,184.00,184.00,3.32,11.01,174.49,172.00,173.00,1
50960,767,J,Yes,None,175,196,172,0.79,0.63,173.57,173.00,173.00,3.76,14.12,183.65,183.00,183.00,0.55,0.31,172.27,172.00,172.00,1
52594,382,b,Yes,None,175,189,172,1.07,1.15,173.91,173.00,173.00,5.98,35.71,188.35,183.00,185.00,0.19,0.04,172.04,172.00,172.00,1
54496,273,a,Yes,None,175,185,172,0.84,0.71,174.67,175.00,175.00,5.42,29.42,189.05,185.00,185.00,0.19,0.04,172.04,172.00,172.00,1
56826,598,X,No,Commission,176,185,171,0.52,0.27,175.32,175.00,175.00,3.45,11.90,187.08,185.00,185.00,0.43,0.18,171.76,172.00,172.00,0
60249,2000,W,No,Omission,169,253,168,3.60,12.95,173.87,176.00,176.00,32.37,1047.51,211.53,185.00,188.00,3.05,9.29,169.48,171.00,171.00,0
61166,917,J,Yes,None,174,178,174,3.71,13.73,173.10,176.00,175.00,32.31,1043.72,214.99,185.00,199.50,3.20,10.24,169.55,171.00,171.00,1
64262,2000,x,Yes,None,177,182,171,3.66,13.39,173.80,177.00,176.00,31.80,1011.06,200.91,181.00,182.00,3.33,11.11,170.77,172.00,172.00,1
64785,523,a,Yes,None,176,183,170,3.07,9.43,174.73,177.00,176.00,24.74,612.04,192.73,181.00,182.00,2.28,5.18,171.51,172.00,172.00,1
68271,2000,x,Yes,None,179,180,173,0.69,0.47,177.04,177.00,177.00,1.22,1.49,180.56,180.00,180.00,0.74,0.54,171.79,172.00,172.00,1
