Elapsed Time (ms),Response Time (ms),Alphabet,Correct,Error Type,Pitch,Yaw,Roll,std_pitch,var_pitch,mean_pitch,mode_pitch,median_pitch,std_yaw,var_yaw,mean_yaw,mode_yaw,median_yaw,std_roll,var_roll,mean_roll,mode_roll,median_roll,Attentive
1267,1267,P,Yes,None,180,4,176,1.70,2.88,176.31,177.00,177.00,166.07,27579.00,237.39,359.00,348.00,0.49,0.24,176.60,177.00,177.00,1
3334,1322,O,Yes,None,177,357,177,1.30,1.69,175.34,175.00,175.00,144.32,20829.08,274.72,348.00,348.00,0.87,0.76,175.98,176.00,176.00,1
4805,790,N,Yes,None,176,5,176,1.83,3.36,175.72,175.00,175.00,165.23,27299.97,225.15,348.00,347.00,1.27,1.61,175.19,176.00,175.00,1
6994,971,C,Yes,None,175,347,176,1.93,3.71,178.17,180.00,179.00,150.77,22732.06,107.41,14.00,15.00,0.86,0.74,173.81,174.00,174.00,1
8762,738,P,Yes,None,178,5,174,1.01,1.03,179.52,180.00,180.00,12.59,158.53,19.95,14.00,14.00,1.56,2.44,172.42,173.00,173.00,1
10498,469,C,Yes,None,180,14,173,1.80,3.23,178.69,180.00,180.00,156.84,24599.25,134.98,358.00,32.00,1.44,2.06,172.10,173.00,172.00,1
13450,1417,Q,Yes,None,178,7,170,0.90,0.80,176.17,176.00,176.00,91.24,8324.54,327.16,352.00,352.00,0.66,0.44,172.29,172.00,172.00,1
14669,633,Y,Yes,None,177,356,173,0.53,0.28,175.85,176.00,176.00,5.98,35.76,349.50,352.00,351.00,0.93,0.86,172.62,172.00,172.00,1
16539,500,T,Yes,None,176,351,172,0.49,0.24,176.41,176.00,176.00,7.05,49.71,346.72,351.00,350.00,2.35,5.51,174.59,173.00,173.00,1
18843,800,Z,Yes,None,176,350,173,1.38,1.91,176.44,177.00,177.00,153.75,23639.74,252.83,2.00,343.50,1.86,3.46,175.30,173.00,175.00,1
20847,795,W,Yes,None,177,349,177,9.14,83.61,169.16,177.00,176.00,163.99,26893.47,119.76,11.00,10.00,1.34,1.79,175.29,176.00,176.00,1
