Elapsed Time (ms), Response Time (ms), Alphabet, Correct, Error Type, Pitch, Yaw, Roll
1396, 1396, M, Yes, None, 359.3176, 181.8753, 353.9419
4028, 2000, X, Yes, None, 355.6992, 181.3099, 354.3811
6032, 2000, x, Yes, None, 358.6788, 179.0225, 354.9661
8033, 2000, X, Yes, None, 3.235019, 173.7852, 356.6935
8817, 783, J, Yes, None, 1.394413, 178.4192, 356.6988
12070, 2000, U, No, Omission, 357.3036, 184.0571, 351.8684
13204, 1133, Y, Yes, None, 0.7408845, 178.0471, 355.2298
16099, 2000, x, Yes, None, 358.9681, 180.1749, 355.3042
17085, 985, U, Yes, None, 1.58463, 179.2538, 355.1883
18801, 699, T, Yes, None, 0.993045, 181.5032, 355.015
21751, 1633, O, Yes, None, 0.6814548, 171.8769, 354.9533
23918, 1787, J, Yes, None, 359.8063, 183.7119, 356.2411
26135, 2000, X, Yes, None, 356.997, 178.035, 352.058
27485, 1349, M, Yes, None, 358.1246, 170.0158, 352.6329
30102, 1949, A, Yes, None, 2.768873, 179.5065, 3.428451
31318, 1156, F, Yes, None, 359.9482, 156.4071, 356.483
34169, 2000, Y, No, Omission, 356.42, 180.6139, 354.2105
36186, 2000, X, Yes, None, 357.9521, 179.4225, 355.8161
36536, 350, J, Yes, None, 358.4146, 180.4443, 355.6873
39936, 1740, O, Yes, None, 355.1291, 176.2971, 354.6942
42216, 2000, N, No, Omission, 355.7928, 164.8322, 355.7424
43832, 1616, L, Yes, None, 358.5891, 179.5832, 353.8216
45213, 980, U, Yes, None, 358.2083, 179.6221, 354.2046
46785, 533, K, Yes, None, 358.2772, 179.7664, 354.0785
48651, 388, D, Yes, None, 351.2553, 183.0137, 357.0058
50568, 301, G, Yes, None, 355.5941, 188.0485, 356.0571
52785, 516, X, No, Commission, 355.7529, 183.2254, 355.5925
56296, 2000, x, Yes, None, 355.3872, 181.8224, 356.2314
56735, 439, W, Yes, None, 355.8214, 182.2663, 356.0884
58868, 566, T, Yes, None, 356.5393, 181.6598, 353.3021
62319, 2000, O, No, Omission, 354.5348, 223.0157, 351.3481
63048, 729, S, Yes, None, 359.6929, 175.17, 350.1857
65187, 858, W, Yes, None, 359.619, 173.9903, 358.0117
67821, 1487, J, Yes, None, 358.2359, 179.5797, 354.4502
70337, 2000, x, Yes, None, 358.3095, 180.0633, 354.2058
72349, 2000, X, Yes, None, 358.0066, 182.951, 354.3851
72948, 598, A, Yes, None, 357.9353, 181.9474, 354.5512
76355, 2000, x, Yes, None, 357.7222, 181.1486, 354.4981
77069, 714, M, Yes, None, 357.7814, 181.1302, 354.3787
79138, 766, J, Yes, None, 357.2231, 175.5238, 355.7659
81772, 1388, T, Yes, None, 357.444, 178.7043, 352.8145
84388, 2000, X, Yes, None, 357.4266, 172.4832, 354.2591
86398, 2000, x, Yes, None, 0.947483, 180.1248, 352.1724
87066, 667, Y, Yes, None, 0.2620636, 176.6064, 352.7608
89099, 696, A, Yes, None, 359.5784, 172.5231, 352.9637
91339, 933, V, Yes, None, 0.4681966, 176.8137, 352.6255
93039, 616, K, Yes, None, 0.6034552, 177.8738, 352.2182
95908, 1476, S, Yes, None, 0.1372584, 175.1724, 352.3007
98456, 2000, Y, No, Omission, 359.0196, 167.9754, 352.1838
98609, 153, U, Yes, None, 358.9597, 167.9743, 352.2054
102132, 1671, F, Yes, None, 0.00707106, 184.6127, 354.6631
103965, 1499, M, Yes, None, 356.1297, 180.6556, 354.0038
105863, 1395, J, Yes, None, 356.4179, 181.7957, 353.3604
108268, 1785, A, Yes, None, 359.7401, 185.2589, 353.1086
110513, 2000, X, Yes, None, 359.4195, 174.561, 352.6039
112518, 2000, x, Yes, None, 0.3220694, 208.2102, 356.0594
112985, 467, b, Yes, None, 0.3438645, 198.4297, 352.973
116536, 2000, a, No, Omission, 350.3175, 182.1678, 352.8306
117586, 1050, Q, Yes, None, 347.3018, 176.9041, 352.922
120552, 2000, X, Yes, None, 0.757833, 181.7936, 352.9157
121102, 550, E, Yes, None, 354.5555, 179.6271, 353.828
123152, 599, L, Yes, None, 357.1023, 179.9868, 351.2135
126564, 2000, G, No, Omission, 359.1752, 165.0916, 353.3595
126942, 378, a, Yes, None, 359.6027, 163.0147, 353.7464
129681, 1100, D, Yes, None, 0.8695995, 178.6517, 352.9243
131281, 683, S, Yes, None, 359.8587, 180.3313, 353.3287
133131, 521, Q, Yes, None, 359.5521, 178.8252, 353.6343
135164, 550, J, Yes, None, 359.4888, 178.5156, 353.7423
137099, 484, W, Yes, None, 359.3855, 175.0783, 353.8512
140651, 2000, x, Yes, None, 359.2585, 175.6139, 353.4333
142666, 2000, X, Yes, None, 359.7988, 179.8098, 354.2829
143218, 552, U, Yes, None, 359.8641, 180.3387, 354.1
145837, 1170, E, Yes, None, 0.124469, 182.0639, 353.6002
147201, 530, J, Yes, None, 0.07677278, 181.6988, 353.7511
149603, 917, P, Yes, None, 0.1431531, 181.714, 353.6674
151781, 1077, W, Yes, None, 0.04211751, 181.394, 353.7356
154726, 2000, X, Yes, None, 0.4211409, 183.7497, 356.8132
155342, 616, M, Yes, None, 0.3657996, 183.3868, 356.8703
157276, 537, O, Yes, None, 0.2921324, 182.9602, 356.1574
159726, 983, B, Yes, None, 0.3428203, 183.2595, 355.6932
161877, 1133, S, Yes, None, 0.2633225, 183.2254, 355.6578
163977, 1223, Z, Yes, None, 0.3811162, 183.0674, 355.7338
166762, 2000, X, Yes, None, 0.5404955, 184.9183, 354.4658
167995, 1233, B, Yes, None, 357.2158, 168.6874, 351.3631
170773, 2000, x, Yes, None, 357.1908, 169.4081, 351.475
172778, 2000, X, Yes, None, 359.3034, 182.5737, 353.7807
173572, 793, I, Yes, None, 359.7757, 182.2511, 357.3894
